Posted On,Rent,BHK,Bathroom,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Point of Contact
18/05/2022,10000,2,2,1100,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
13/05/2022,20000,2,1,800,1 out of 3,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
16/05/2022,17000,2,1,1000,1 out of 3,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
04/07/2022,10000,2,1,800,1 out of 2,Super Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
09/05/2022,7500,2,1,850,1 out of 2,Carpet Area,South Dum Dum,Kolkata,Unfurnished,Bachelors,Contact Owner
29/04/2022,7000,2,2,600,Ground out of 1,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
21/06/2022,10000,2,2,700,Ground out of 4,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,Contact Agent
21/06/2022,5000,1,1,250,1 out of 2,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,Contact Agent
07/06/2022,26000,2,2,800,1 out of 2,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,Bachelors,Contact Agent
20/06/2022,10000,2,2,1000,1 out of 3,Carpet Area,Natunhat,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
23/05/2022,25000,3,2,1200,1 out of 4,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,Contact Agent
07/06/2022,5000,1,1,400,1 out of 1,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,Contact Agent
14/05/2022,6500,1,1,250,1 out of 4,Carpet Area,"Tarulia, Keshtopur",Kolkata,Furnished,Bachelors,Contact Owner
09/05/2022,5500,1,1,375,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,Contact Agent
05/05/2022,8500,3,2,900,Ground out of 2,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,Bachelors,Contact Owner
01/06/2022,40000,3,2,1286,1 out of 1,Carpet Area,New Town Action Area 1,Kolkata,Furnished,Bachelors/Family,Contact Owner
17/05/2022,6000,2,1,600,1 out of 2,Super Area,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
20/06/2022,10000,2,1,800,Ground out of 2,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
09/06/2022,11000,2,1,2000,Ground out of 3,Carpet Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
09/06/2022,6000,2,1,660,1 out of 2,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
02/07/2022,7900,2,1,650,1 out of 2,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,Contact Owner
14/06/2022,9000,2,2,400,2 out of 3,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,Contact Owner
15/06/2022,4000,1,1,300,Ground out of 4,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
15/06/2022,6500,3,1,1600,Ground out of 2,Super Area,Joka,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
28/05/2022,8000,1,1,400,1 out of 2,Super Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,Contact Agent
22/05/2022,7000,2,1,1000,1 out of 1,Super Area,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
18/06/2022,5300,1,1,355,1 out of 1,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,Contact Agent
25/06/2022,6000,2,1,1000,Ground out of 3,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
22/06/2022,8500,2,1,800,4 out of 5,Super Area,Baguiati,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
25/06/2022,12500,2,2,850,Ground out of 2,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
21/05/2022,7500,1,1,350,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
26/06/2022,15000,2,2,900,Ground out of 2,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,Contact Owner
16/06/2022,6000,2,1,550,1 out of 1,Super Area,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
29/06/2022,5000,2,2,500,Ground out of 2,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
10/05/2022,22000,3,1,1100,2 out of 3,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
12/05/2022,15000,2,1,850,1 out of 2,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
03/06/2022,12500,2,1,800,2 out of 2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,Contact Agent
31/05/2022,7000,2,1,630,Ground out of 3,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,Contact Owner
10/06/2022,21000,2,2,900,1 out of 2,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors,Contact Owner
24/06/2022,10000,1,1,270,1 out of 2,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
29/06/2022,7200,2,1,630,Ground out of 1,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
12/05/2022,12000,3,2,1500,Ground out of 2,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,Contact Owner
26/06/2022,5000,1,1,600,2 out of 5,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,Contact Owner
30/04/2022,8500,2,1,700,4 out of 14,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,Contact Owner
